,id,id_order,product_quantity,sku,unit_price
768,1120575,300265,1,APP1210,172.0
770,1120584,300268,1,APP0927,19.99
773,1120598,300271,1,GRT0426,22.99
775,1120608,300273,1,LGE0035,482.0
783,1120618,300281,1,APP0927,19.99
786,1120621,300257,1,BEL0171,24.99
800,1120639,300290,1,SPE0168,19.99
802,1120642,300257,1,TPL0038,7.99
803,1120644,300290,1,MOX0015,7.99
817,1120665,300304,1,FCM0016-2,68.99
819,1120668,300306,1,APP1043,59.0
822,1120673,300309,1,OTT0136,19.99
823,1120674,300309,1,APP0698,14.99
827,1120680,300309,1,SAT0023,24.99
829,1120684,300314,1,PAC0623,186.99
831,1120687,300314,1,OWC0181-2,78.99
832,1120688,300315,2,APP0927,19.99
834,1120692,300317,2,TRA0010,79.99
835,1120694,300319,1,WIT0029,119.99
840,1120702,300323,1,OWC0189,339.99
843,1120713,300325,1,TPL0040,29.9
844,1120719,300327,1,OWC0175,284.99
847,1120722,300329,2,SAN0133,49.99
849,1120725,300331,1,MOS0210,36.99
851,1120727,300333,1,WDT0315,71.99
853,1120735,300336,1,LOG0194,149.99
856,1120739,300339,1,APP1778,45.0
862,1120750,300346,1,TRA0010,79.99
864,1120753,300347,1,SAN0135,99.99
873,1120778,300354,1,BEL0263,19.99
880,1120795,300364,1,SAN0133,49.99
882,1120797,298859,1,ZAG0028,54.99
884,1120804,300368,1,IFX0019,19.99
885,1120807,300315,1,TPL0038,7.99
886,1120811,300369,1,PAC0698,170.99
890,1120816,300371,1,BOO0069,129.99
897,1120829,300379,1,TPL0017,59.9
899,1120832,300380,1,LOG0175,199.99
902,1120837,300362,1,PEB0015,149.99
906,1120845,300385,1,SAN0134,64.99
907,1120847,300387,1,APP1750,429.0
908,1120848,300385,1,SAN0133,49.99
910,1120855,300368,1,MOX0018,4.99
911,1120858,300389,1,MOP0073,84.99
912,1120859,300390,1,APP0703,72.99
913,1120860,300368,1,GRT0427,9.99
914,1120861,300391,1,PAC1735,204.99
915,1120863,300392,1,SPE0169,17.35
920,1120875,300399,1,SAM0073,101.99
922,1120879,300400,1,LOG0191,149.99
925,1120885,300403,1,OTT0136,19.99
928,1120893,300406,1,LAC0200,397.99
929,1120896,300258,1,TRA0041,49.99
933,1120905,300411,1,BEL0270,94.99
934,1120906,300412,1,WAC0166,69.99
935,1120908,300413,1,SAN0133,49.99
936,1120914,300414,1,LEX0033,46.99
940,1120918,300418,1,SAM0110-A,101.55
941,1120921,300419,1,APP1810,1584.99
942,1120923,300421,1,OWC0036-2,82.99
943,1120925,300421,1,KAN0028,99.99
951,1120936,300430,1,APP1152,59.0
954,1120939,300430,1,WOE0008,9.99
958,1120974,300434,1,LAC0167,105.99
959,1120977,300435,1,WIT0032,169.99
960,1120980,300436,1,ZAG0019,49.99
964,1120996,300439,1,BEL0212,16.99
965,1121000,300439,1,SPE0141,36.99
967,1121005,300439,1,APP0927,19.99
968,1121006,300443,1,TAM0012,79.99
969,1121007,300444,1,HTE0007,29.99
970,1121009,300444,1,HTE0009,29.99
971,1121012,300446,1,OTT0159,14.99
973,1121015,300446,1,BEL0286,17.99
981,1121041,300455,1,OWC0148,335.99
982,1121046,300456,1,SAN0133,49.99
983,1121047,300443,1,PAR0050,109.99
987,1121051,300452,1,WAC0191,169.99
988,1121052,300443,1,HTE0010,44.99
992,1121059,300462,1,SAT0033,39.99
997,1121071,300466,1,FCM0026,59.99
998,1121072,300467,1,TRK0011,54.99
999,1121073,300468,1,BEA0056,89.99
1000,1121076,300469,1,APP1043,59.0
1001,1121078,300446,1,MUV0168,12.9
1003,1121082,300471,1,GRT0423,54.99
1007,1121090,300467,1,NOD0008,26.99
1008,1121091,300475,35,OTT0132,29.99
1009,1121092,300476,1,CRU0016-2,84.99
1014,1121108,300435,1,APP1047,25.0
1015,1121109,300435,1,APP1921,89.0
1017,1121115,300482,6,ELG0046,59.99
1018,1121121,300391,1,TOS0020,82.99
1020,1121138,300485,1,SEA0049,49.99
1031,1121159,300495,1,APP1214,84.99
1034,1121165,300498,1,NTE0101,79.0
1038,1121185,300495,2,JMO0056,44.99
1039,1121195,300495,2,APP0697,12.99
1041,1121202,300495,1,APP1465,99.99
1049,1121216,300512,1,NOM0017,21.9
1050,1121218,300513,1,ELG0039,39.99
1051,1121219,300455,2,SEA0044,93.99
1063,1121250,300525,1,PAC1770,903.99
1065,1121255,300513,1,LEX0016,6.79
1066,1121266,300527,1,OWC0202,84.99
1067,1121267,300528,1,APP1685,7.99
1069,1121269,300530,1,SPE0175,36.99
1070,1121270,300531,1,CRU0052,188.99
1071,1121271,300532,1,ELG0039,39.99
1072,1121276,300532,1,ELG0040,35.99
1077,1121291,300540,1,ZAG0019,49.99
1078,1121294,300541,1,BOS0043,339.99
1081,1121297,300541,1,WHO0008,15.9
1082,1121301,300544,1,TRK0011,54.99
1084,1121308,300546,1,WAC0171,62.99
1085,1121310,300547,1,TPL0017,59.9
1086,1121312,300541,1,MUV0171,29.99
1089,1121325,300533,1,TWS0078,49.99
1090,1121326,300551,1,RAI0007,54.99
1092,1121337,300553,1,APP0023,55.99
1093,1121338,300554,1,OWC0181-2,78.99
1104,1121368,300565,1,CRU0026-2,118.99
1120,1121416,300585,1,APP1876,4038.99
1121,1121417,300586,1,BEA0058,89.99
1143,1121463,300281,1,MUV0151,20.99
1145,1121465,300604,1,TPL0032,119.99
1152,1121476,300610,1,MUJ0016,35.99
1155,1121479,300613,1,HTE0010,44.99
1156,1121484,300281,1,MOS0065,14.99
1158,1121487,300616,1,JBL0119,124.99
1169,1121510,300627,1,PAC0622,225.99
1185,1121532,300637,1,GRT0393,54.99
1187,1121534,300639,1,PAC1399,23.99
1193,1121543,300646,1,NEA0010,64.99
1194,1121544,300646,1,NEA0015,94.99
1199,1121550,300650,1,OWC0100,49.99
1204,1121561,300655,1,JBL0102,99.99
1206,1121564,300656,1,BEL0233,26.99
1207,1121567,300657,1,LGE0047,1259.99
1210,1121570,300660,1,par0072,199.0
1213,1121575,300646,1,NEA0017,22.99
1214,1121576,300663,1,WAC0054,31.99
1217,1121579,300665,1,APP1652,726.45
1224,1121590,300671,1,CRU0026-2,118.99
1226,1121599,300674,1,DLL0020,279.0
1227,1121600,300675,1,SYN0139,174.99
1230,1121604,300678,1,SAN0098,34.99
1243,1121628,300692,1,BEL0273,16.99
1244,1121634,300693,1,SAT0042,59.99
1246,1121637,300656,1,WDT0375,258.99
1251,1121645,300699,1,MOS0154,29.99
1253,1121647,300701,1,SEA0102,109.99
1257,1121654,300699,1,STA0018,17.99
1259,1121658,300704,1,APP0899,512.99
1260,1121659,300705,1,MOS0140,29.99
1267,1121674,300711,1,BEA0032,279.99
1268,1121676,300711,1,APP0023,55.99
1271,1121685,300716,1,APP1847,2237.99
1273,1121690,300718,1,MOS0021,19.99
1275,1121692,300720,1,ELG0048,39.99
1279,1121701,300713,1,APP0437,35.0
1282,1121709,300713,1,OTT0133,19.99
1285,1121720,300731,1,APP1210,172.0
1287,1121726,300733,1,OLL0019,59.99
1289,1121730,300725,1,CRU0016-2,84.99
1292,1121733,300737,1,NTE0013,19.99
1293,1121734,300738,1,SAN0133,49.99
1294,1121735,300739,1,LAC0155,139.99
1298,1121744,300737,1,SAM0075,326.99
1299,1121747,300720,1,OTT0143,13.99
1303,1121760,300744,1,APP1140,39.0
1304,1121762,300746,1,CRU0051,144.99
1315,1121790,300757,1,TPL0032,119.99
1320,1121796,300737,2,WDT0363,159.0
1322,1121799,300760,1,NTE0013,19.99
1323,1121800,300761,1,APP0409,89.0
1324,1121801,300760,1,OWC0100,49.99
1327,1121812,300764,1,KEN0212,18.99
1335,1121835,300773,1,TRK0011,54.99
1337,1121839,300775,1,WAC0171,62.99
1345,1121868,300779,1,FCM0007-2,118.99
1348,1121881,300786,1,THU0019,44.99
1355,1121891,300789,1,SPH0013,149.99
1361,1121904,300793,1,WAC0162-A,156.27
1364,1121908,300796,1,OWC0160,284.99
1367,1121914,300800,1,TPL0032,119.99
1368,1121917,300798,1,APP1573,1351.99
1371,1121928,300806,1,SPH0014,139.99
1373,1121932,300808,1,SAN0134,64.99
1375,1121935,300809,1,SPH0013,149.99
1379,1121940,300812,1,IFX0022,19.99
1380,1121942,300814,1,WAC0171,62.99
1384,1121950,300819,1,SAT0011,19.99
1385,1121951,300819,2,SAT0010,19.99
1390,1121968,300826,1,SPE0183,21.99
1393,1121975,300826,1,BEL0286,17.99
1394,1121976,300831,2,CRU0017-2,87.99
1395,1121984,300834,1,TWS0041,79.99
1399,1121997,300839,1,TOS0022,103.99
1403,1122002,300728,1,APP1221,87.6
1406,1122006,300846,1,FCM0016-2,68.99
1408,1122008,300848,1,APP1764,69.0
1410,1122012,300848,1,APP1760,45.0
1411,1122014,300851,1,JBL0104,24.99
1412,1122015,300826,1,MUV0172,9.99
1413,1122021,300854,1,JMO0071,29.9
1418,1122030,300860,2,LEX0027,38.99
1420,1122033,300861,1,SAN0133,49.99
1421,1122034,300862,1,CRU0043-2,132.99
1426,1122042,300867,1,STM0094,39.99
1431,1122054,300872,1,TPL0024,129.99
1432,1122056,300846,1,SAM0073,101.99
1433,1122059,300873,1,TRK0007,29.99
1434,1122062,300875,1,PAR0054,69.0
1435,1122065,300877,1,BEL0270,94.99
1438,1122069,300880,2,ELG0039,39.99
1442,1122077,300876,2,WDT0175,95.99
1443,1122079,300882,1,WAC0090,729.99
1445,1122081,300883,1,BOS0050,159.99
1448,1122087,300876,1,OSM0007,109.99
1454,1122096,300889,1,PAR0053,69.0
1460,1122113,300896,2,HTE0008,29.99
1463,1122117,300898,1,TPL0017,59.9
1469,1122134,300903,1,WAC0173,169.99
1470,1122137,300904,1,SAM0073,101.99
1471,1122142,300905,1,HTE0009,29.99
1472,1122143,300906,2,STA0033,5.99
1480,1122163,300916,1,APP1020,64.99
1481,1122164,300830,1,PEB0015,149.99
1483,1122167,300906,1,NTE0096,14.99
1485,1122173,300918,1,PEB0015,149.99
1491,1122182,300924,1,OLL0019,59.99
1496,1122190,300929,1,PAR0054,69.0
1497,1122191,300930,1,TWS0093,56.99
1500,1122195,300933,1,BEA0058,89.99
1504,1122202,300938,1,WDT0141,112.99
1512,1122221,300945,1,DLK0008,47.99
1514,1122227,300947,1,PEB0009,99.99
1515,1122228,300948,1,BEL0270,94.99
1516,1122229,300949,1,JBL0107,99.99
1517,1122232,300950,1,PAC0594,782.99
1522,1122238,300954,1,PAC0782,351.99
1536,1122280,300966,1,NTE0064,109.99
1541,1122287,300971,1,PAR0054,69.0
1546,1122295,300977,1,LOG0225,16.99
1548,1122297,300979,1,TRK0011,54.99
1549,1122298,300980,1,LOG0175,199.99
1553,1122308,300986,1,WAC0173,169.99
1554,1122311,300979,1,NOD0008,26.99
1557,1122315,300989,1,SAT0013,29.99
1558,1122316,300989,1,APP1216,139.99
1569,1122331,300998,1,HTE0007,29.99
1570,1122336,300999,1,OTR0045,29.99
1579,1122362,301012,1,WDT0141,112.99
1581,1122366,301013,1,CRU0026-2,118.99
1583,1122371,301015,1,SPH0013,149.99
1622,1122452,301058,1,APP0703,72.99
1634,1122471,301069,1,SPH0008,129.99
1640,1122484,301074,1,APP1221,106.0
1641,1122485,301075,1,HTE0009,29.99
1644,1122492,301080,1,ADN0024,27.99
1645,1122494,301080,1,ADN0043,74.99
1646,1122495,301079,1,MOS0013,12.99
1650,1122501,301085,1,SAN0099,44.99
1654,1122506,301059,2,WDT0227,62.99
1659,1122517,301091,1,ZAG0022,10.99
1660,1122518,301079,1,THU0025,79.99
1661,1122521,301092,1,OWC0054-2,39.99
1662,1122526,301094,1,LEA0007,84.99
1663,1122527,301095,1,BEL0270,94.99
1669,1122542,301097,1,APP0437,35.0
1670,1122546,301103,1,PAR0054,69.0
1671,1122548,301105,1,CRU0052,188.99
1673,1122552,301106,1,HTE0010,44.99
1676,1122558,301111,1,WAC0172,84.99
1677,1122561,301112,1,KEU0007,17.99
1678,1122562,301108,1,PAR0071,499.0
1684,1122579,301106,1,TRK0009,29.99
1685,1122582,301118,1,IKM0049,94.99
1688,1122590,301121,1,APP0927,19.99
1695,1122602,301129,1,PAC1438,328.99
1715,1122632,301145,1,IFX0022,19.99
1718,1122637,301148,1,THU0025,79.99
1723,1122650,301152,1,LOG0175,199.99
1729,1122662,301158,1,PAC1449,332.99
1737,1122681,301166,1,BEL0270,94.99
1740,1122685,301169,1,SAN0116,79.99
1745,1122690,301173,1,APP1190,58.99
1751,1122699,301179,1,KEN0166,19.99
1754,1122710,301184,1,SPE0140,36.99
1761,1122718,301184,1,ELG0038,44.99
1764,1122726,301193,1,IFX0022,16.52
1768,1122737,301181,1,IFX0046,64.99
1770,1122740,301198,1,TRA0016,79.99
1771,1122741,301198,1,WDT0363,159.0
1773,1122745,301198,1,XOO0011,16.99
1778,1122753,301204,1,APP1628,164.0
1780,1122756,301204,1,APP1221,106.0
1781,1122757,301204,1,APP1492,759.99
1783,1122760,301196,1,RAI0019,46.99
1784,1122763,301207,1,HTE0008,29.99
1786,1122765,301208,1,SAN0133,49.99
1789,1122768,301209,1,PAR0053,69.0
1790,1122771,301211,1,PAC1240,1569.0
1792,1122777,301214,1,CRU0051,144.99
1800,1122791,301223,1,CRU0052,188.99
1803,1122795,301226,1,IFX0046,64.99
1814,1122823,301236,1,TWS0105,47.99
1817,1122829,301239,1,PHI0063,17.99
1821,1122841,301244,1,LIF0053,39.99
1822,1122844,301243,1,OTT0160,24.99
1824,1122847,301243,1,IOT0024,22.99
1826,1122852,301247,1,OTT0140,22.99
1833,1122866,301252,1,SPE0166,36.99
1834,1122867,301253,1,SAM0105,31.99
1841,1122892,296229,1,MOS0182,32.99
1843,1122895,301261,1,MOS0147,34.99
1849,1122915,301270,1,WDT0183,159.99
1851,1122918,296229,1,APP1465,99.99
1859,1122930,301276,2,ELG0039,39.99
1860,1122931,301276,1,CRU0050,94.99
1861,1122933,301277,1,MOS0013,12.99
1864,1122938,301280,1,CRU0049,66.99
1876,1122956,301292,1,LOG0191,149.99
1887,1122980,301306,1,PAC1560,49.99
1888,1122981,301307,1,IFX0020,7.99
1889,1122985,301308,2,OWC0068-A,56.66
1894,1122998,301309,1,SAN0099,44.99
1899,1123004,301318,1,LAC0145,159.99
1901,1123006,300331,1,BEL0298,19.99
1902,1123007,301320,1,OWC0040-2,148.99
1903,1123011,301321,2,APP0927,19.99
1904,1123012,301322,1,APP1190,58.99
1907,1123017,301325,1,CRU0026-2,118.99
1909,1123020,301327,1,APP0698,14.99
1910,1123022,301325,1,IFX0012,29.9
1913,1123025,301331,1,PAC1033,2845.99
1916,1123031,301334,1,HTE0007,29.99
1917,1123032,301335,1,JAW0048,49.99
1922,1123039,301339,1,WIT0028,119.99
1925,1123044,301344,1,NEA0009,169.99
1927,1123049,301345,1,APP1142,39.0
1929,1123056,301344,2,PHI0076,33.99
1932,1123062,301352,1,WDT0141,112.99
1935,1123067,301234,1,SYN0128,384.99
1938,1123070,301234,1,WDT0183,159.99
1941,1123075,301359,1,WAC0090,729.99
1942,1123076,301360,1,WDT0141,112.99
1946,1123090,301365,1,PAC0519,203.99
1948,1123096,301367,1,LMP0007,39.99
1949,1123097,301300,1,DLL0026,306.99
1952,1123101,301300,1,STA0016,9.99
1953,1123102,301370,1,PAC1198,2258.99
1954,1123104,301371,1,JBL0122,44.99
1958,1123110,301374,1,SAT0039,59.99
1959,1123111,301375,1,SEA0106,123.99
1960,1123112,301376,1,NTE0017,94.99
1961,1123113,301362,1,PAC1590,2474.99
1963,1123116,301379,1,LEX0039,53.99
1964,1123119,301380,1,PAC1488,132.99
1972,1123131,301387,1,LOG0148,109.99
1976,1123135,301390,1,DLL0029-A,292.77
1979,1123141,301393,1,WAC0170,89.99
1982,1123144,301396,1,LGE0035,482.0
1984,1123147,301398,1,PAC1628,3984.99
1989,1123158,301403,1,WDT0311-A,152.89
1990,1123160,301387,1,TWS0046,44.99
1991,1123161,301404,1,WAC0169,79.99
1994,1123171,299869,1,BEL0181,212.99
1995,1123177,301406,1,PAC1240,1569.0
1996,1123180,301408,1,OLL0022,59.99
1997,1123184,301409,1,SAN0133,49.99
1999,1123188,301412,1,LGE0035,482.0
2001,1123191,301414,1,PAC1373,494.99
2003,1123203,301416,1,DLL0034,131.4
2007,1123210,301420,1,TOS0007,55.99
2009,1123215,301422,1,FCM0003-2,70.99
2019,1123231,301433,1,LOG0175,199.99
2020,1123233,301434,1,DLL0020,279.0
2026,1123249,301440,1,BOS0043,339.99
2027,1123251,301442,1,WIT0028,119.99
2035,1123260,301430,1,CRU0016-2,84.99
2042,1123269,301451,1,SAN0133,49.99
2043,1123270,301451,1,SAN0134,64.99
2044,1123271,301452,1,LEX0028,59.99
2047,1123283,301430,1,OWC0013,4.99
2048,1123284,301456,1,SAN0099,44.99
2049,1123285,301457,1,BEL0270,94.99
2056,1123301,301463,1,SAT0010,19.99
2059,1123306,301467,1,LEX0027,38.99
2060,1123310,301469,1,ADN0044,49.99
2067,1123337,301256,1,SAN0134,64.99
2071,1123342,301478,1,TRN0009,24.99
2079,1123352,301490,1,APP0927,19.99
2080,1123353,301491,1,SEA0053,128.99
2084,1123359,300671,1,SAM0073,101.99
2087,1123365,301496,1,OTR0045,29.99
2090,1123375,301498,1,BEL0181,212.99
2091,1123376,301499,1,IFX0029,99.99
2092,1123377,301500,1,APP1267,1949.99
2093,1123381,301501,1,PAC1548,278.99
2097,1123386,301504,1,APP1190,58.99
2103,1123419,301508,1,TRI0012,19.99
2104,1123421,301509,1,NTE0092-A,46.04
2106,1123425,301512,1,APP0698,14.99
2107,1123426,301513,1,ELG0039,39.99
2114,1123438,301521,1,APP1655,989.0
2115,1123439,301522,2,TRA0041,49.99
2116,1123441,301512,1,MUV0147,17.99
2120,1123449,301247,1,ELG0039,39.99
2124,1123454,301531,1,WDT0141,112.99
2126,1123462,301533,3,TRK0011,54.99
2129,1123472,301537,1,HTE0010,44.99
2137,1123482,301543,1,PAC1240,1569.0
2140,1123488,301547,1,WDT0363,159.0
2141,1123489,301548,1,DLL0016,903.99
2142,1123490,301517,1,BEZ0158,28.99
2147,1123505,301557,1,SAM0073,101.99
2150,1123510,301550,1,WAC0090,729.99
2151,1123516,301560,1,IFX0022,19.99
2153,1123518,301562,1,SAN0133,49.99
2154,1123520,301563,1,APP1135,55.0
2156,1123524,301566,1,HTE0010,44.99
2157,1123525,301563,1,MOX0015,7.99
2161,1123542,301571,1,WDT0141,112.99
2166,1123553,301575,1,WAC0046,99.99
2167,1123554,301576,1,TUC0255,24.99
2176,1123573,301517,1,SPE0133,36.99
2180,1123578,301589,1,TRA0012,79.99
2189,1123599,301597,1,TRK0009,29.99
2193,1123604,301601,1,TOS0007,55.99
2203,1123626,301609,1,DLL0020,279.0
2211,1123641,301619,1,WOE0013,16.99
2213,1123644,301622,1,STA0016,9.99
2219,1123653,301628,1,SAM0074,155.99
2221,1123655,301628,1,OWC0013,4.99
2222,1123656,301628,1,MAC0122,24.99
2225,1123671,301634,1,HTE0010,44.99
2226,1123672,301635,1,MOX0019,6.99
2227,1123676,301636,1,TPL0039,54.99
2229,1123679,301636,1,APP0023,55.99
2237,1123696,301646,1,CRU0050,94.99
2239,1123701,301649,1,OTT0103,22.99
2240,1123702,301650,1,TUC0291,22.99
2241,1123703,301646,1,MAC0122,24.99
2242,1123704,301649,1,OTT0100,22.99
2243,1123705,301651,1,JBL0107,99.99
2244,1123707,301652,1,BEL0268,79.99
2245,1123709,301654,1,SAN0133,49.99
2246,1123712,301655,1,OWC0172,302.99
2251,1123727,301662,1,BEL0292,15.99
2263,1123746,301675,1,IFX0022,19.99
2265,1123751,301677,1,APP0401-A,74.21
2266,1123752,301678,1,WAC0173,169.99
2269,1123756,301681,1,OWC0040-2,148.99
2270,1123759,301230,1,SAT0033,39.99
2272,1123763,301230,1,SAN0154,6.99
2273,1123768,301685,2,ELG0039,39.99
2274,1123774,301686,1,LOG0191,149.99
2277,1123783,301689,1,WAC0169,79.99
2278,1123784,301690,1,CRU0026-2,118.99
2284,1123795,301695,1,APP1190,58.99
2286,1123802,301595,1,APP1101,169.99
2287,1123804,301697,1,PAR0054,69.0
2295,1123832,301707,1,LEX0039,53.99
2300,1123844,301712,1,PEB0009,99.99
2305,1123856,301717,1,WAC0169,79.99
2307,1123860,301719,1,SAM0116,103.99
2310,1123888,301725,1,STA0060,29.99
2312,1123893,301728,1,APP0927,19.99
2321,1123908,301736,1,WDT0227,62.99
2322,1123909,301737,1,PEB0009,99.99
2323,1123911,301297,1,BOS0043,339.99
2324,1123913,301738,1,APP1020,64.99
2333,1123935,301749,1,WAC0179,5.99
2337,1123941,301753,1,LMP0007,39.99
2344,1123961,301760,1,APP1576,1351.99
2347,1123966,297076,1,MUV0168,12.9
2352,1123974,301767,1,CRU0043-2,132.99
2359,1123992,301775,1,LOG0175,199.99
2370,1124005,297076,1,XOO0011,16.99
2374,1124014,301787,1,SPE0187,26.99
2376,1124020,297076,1,XOO0012,16.99
2377,1124021,301789,1,APP1920,79.0
