,order_id,created_date,total_paid
90,289028,2017-02-15 10:45:22,267.98
91,289387,2017-07-25 17:05:17,58.28
96,290393,2017-09-24 11:41:23,318.93
98,290755,2018-02-13 10:17:49,540.16
99,291147,2017-02-09 12:08:58,49.98
101,292183,2017-11-24 02:05:50,71.48
102,293164,2017-11-23 18:05:25,54.99
105,294278,2018-03-04 20:04:01,173.98
107,294617,2017-01-14 11:41:48,120.2
108,294699,2017-05-29 00:01:35,33.98
111,295347,2017-01-01 02:02:38,72.19
112,295723,2017-01-08 15:04:58,39.98
116,296229,2017-01-03 03:10:06,132.98
117,296253,2017-01-10 11:43:43,308.95
119,296436,2017-01-11 10:09:27,387.6
120,296478,2017-10-06 14:03:48,1515.58
121,296502,2017-01-01 21:21:57,71.57
122,296611,2017-01-02 05:41:19,112.99
124,297076,2017-01-03 17:03:42,46.88
127,297220,2017-01-07 15:15:29,112.98
129,297572,2017-01-27 23:59:50,51.99
130,297765,2017-09-26 13:40:50,1805.59
131,297809,2017-01-01 12:07:38,18.23
135,298038,2017-07-04 17:10:48,266.95
136,298161,2017-01-02 10:20:14,327.99
137,298211,2017-04-25 14:52:58,89.99
139,298391,2017-01-01 12:18:28,2919.98
140,298506,2017-01-17 09:12:26,46.98
142,298617,2017-05-08 21:22:04,175.96
144,298643,2017-01-14 16:52:22,68.98
145,298859,2017-01-02 11:32:47,54.99
149,298923,2017-02-15 16:13:52,63.94
154,299545,2017-01-01 01:51:47,51.48
155,299546,2017-01-01 01:57:34,18.99
156,299549,2017-01-02 10:00:20,2565.99
157,299556,2017-01-01 02:30:08,65.89
158,299561,2017-01-01 02:39:47,154.48
159,299563,2017-01-01 02:47:58,263.48
160,299564,2017-01-01 02:50:18,23.98
161,299571,2017-01-01 12:07:29,323.22
162,299578,2017-01-01 13:00:05,142.49
163,299579,2017-01-01 09:09:39,134.07
164,299586,2017-01-01 09:21:29,47.98
165,299597,2017-01-01 19:19:57,149.48
166,299600,2017-01-01 11:56:17,4607.62
167,299608,2017-01-01 10:56:05,71.48
168,299609,2017-01-01 10:56:02,474.05
169,299610,2017-01-01 11:00:40,152.97
170,299623,2017-01-01 11:35:46,41.04
171,299634,2017-01-01 12:34:20,825.51
172,299637,2017-01-01 12:19:27,57.18
174,299648,2017-01-01 12:27:29,360.29
175,299650,2017-01-02 19:28:30,65.99
176,299655,2017-01-01 12:43:56,203.62
177,299659,2017-01-01 12:45:54,79.98
178,299664,2017-01-01 20:08:09,1351.99
179,299667,2017-01-01 12:50:04,99.98
180,299672,2017-12-28 12:31:42,3708.18
181,299673,2017-01-01 20:55:01,172.13
182,299674,2017-01-01 13:26:40,584.24
183,299681,2017-01-01 13:13:25,111.47
184,299696,2017-01-01 14:56:18,79.0
186,299704,2017-01-01 13:49:09,17.98
188,299710,2017-01-01 21:33:03,129.52
190,299719,2017-01-01 14:34:35,44.87
191,299723,2017-01-01 14:28:41,54.47
192,299736,2017-01-01 23:15:06,166.48
193,299737,2017-01-01 15:12:28,99.98
194,299742,2017-01-01 15:25:11,48.67
195,299744,2017-01-02 09:22:07,1584.99
196,299773,2017-01-01 16:32:16,57.33
198,299780,2017-01-01 16:55:22,22.18
199,299792,2017-01-01 17:13:53,376.53
200,299802,2017-01-01 17:17:31,35.48
201,299803,2017-01-01 17:20:58,103.78
202,299807,2017-01-01 17:32:44,22.98
203,299808,2017-01-01 17:27:26,139.88
204,299811,2017-01-01 17:35:30,25.88
206,299818,2017-01-01 19:40:31,23.93
207,299823,2017-01-01 17:53:02,293.78
210,299833,2017-01-01 18:05:22,79.03
211,299844,2017-08-11 10:41:19,106.98
212,299847,2017-01-01 18:26:23,40.23
213,299850,2017-01-01 18:37:51,48.97
214,299858,2017-01-01 18:38:51,114.33
215,299859,2017-01-01 20:46:19,470.24
217,299864,2017-01-01 19:04:29,545.28
218,299865,2017-01-01 18:53:58,50.68
219,299867,2017-01-01 19:10:01,58.27
220,299868,2017-01-01 18:58:31,234.03
221,299869,2017-01-03 11:03:03,212.99
222,299870,2017-01-01 18:57:57,124.68
223,299879,2017-01-01 19:11:28,35.48
224,299881,2017-01-01 19:36:01,56.38
225,299887,2017-01-01 19:33:32,35.14
226,299891,2017-01-01 19:39:40,63.98
227,299895,2017-01-01 20:17:17,72.54
228,299901,2017-01-01 19:47:54,1986.99
231,299910,2017-01-01 19:46:17,693.49
232,299918,2017-01-01 20:12:04,165.52
233,299939,2017-01-01 20:29:19,73.48
234,299944,2017-01-01 21:55:11,223.22
235,299945,2017-01-01 21:19:31,147.47
236,299947,2017-01-01 20:36:30,549.0
238,299962,2017-01-03 17:50:03,113.99
239,299968,2017-01-03 12:19:25,11.98
240,299973,2017-01-01 21:17:16,61.98
241,299981,2017-01-01 21:19:43,21.13
242,299983,2017-01-01 23:24:53,273.59
243,299984,2017-01-01 21:17:50,23.98
245,300002,2017-01-01 21:38:06,80.74
246,300007,2017-01-01 21:42:11,35.48
247,300008,2017-01-01 21:50:39,64.83
248,300012,2017-01-01 21:50:30,35.33
249,300021,2017-01-01 22:00:26,149.48
250,300028,2017-01-01 22:06:04,65.55
252,300033,2017-01-01 23:29:27,61.89
254,300036,2017-01-01 22:36:25,30.73
255,300040,2017-01-01 22:10:39,795.1
256,300046,2017-01-02 20:01:02,41.99
257,300051,2017-01-01 22:59:01,49.73
258,300054,2017-01-01 22:33:17,34.53
260,300060,2017-01-01 22:45:54,49.73
261,300077,2017-01-01 23:10:13,101.98
262,300080,2017-01-01 23:03:02,61.98
263,300085,2017-01-01 23:05:46,93.43
264,300104,2017-01-03 17:20:49,369.99
265,300109,2017-01-01 23:46:17,71.48
266,300110,2017-01-02 00:22:56,53.99
267,300123,2017-01-02 00:04:31,49.99
268,300126,2017-01-02 00:03:54,68.73
269,300129,2017-01-02 00:02:06,23.98
270,300136,2017-01-02 00:22:24,16.98
271,300137,2017-12-26 23:50:03,311.2
272,300149,2017-01-02 12:11:38,174.99
274,300158,2017-01-02 00:36:39,289.0
275,300168,2017-01-02 00:51:31,149.99
276,300173,2017-01-02 00:59:21,37.97
277,300179,2017-01-02 07:55:09,434.96
278,300184,2017-01-02 01:33:50,145.77
279,300185,2017-01-02 01:20:37,31.98
280,300188,2017-01-02 01:13:45,132.89
281,300189,2017-01-02 01:11:51,65.99
282,300192,2017-01-02 01:17:22,83.88
283,300193,2017-01-02 01:16:46,225.98
284,300199,2017-01-02 01:30:20,45.0
285,300203,2017-01-02 01:38:22,73.92
286,300207,2017-01-02 12:49:56,106.99
287,300208,2017-01-02 10:12:26,49.9
288,300213,2017-01-02 01:52:56,64.98
289,300218,2017-01-02 01:58:23,99.99
290,300223,2017-01-02 02:15:25,36.98
291,300235,2017-01-02 03:39:21,84.99
292,300241,2017-01-02 05:02:29,49.99
294,300252,2017-01-02 08:08:23,49.99
295,300253,2017-01-02 07:59:23,1949.99
296,300254,2017-01-02 08:07:34,55.99
297,300257,2017-01-02 09:37:38,37.97
298,300258,2017-01-02 11:31:23,49.99
299,300262,2017-01-02 08:37:35,89.9
300,300263,2017-01-02 08:35:18,53.99
301,300265,2017-01-02 08:37:26,177.0
302,300268,2017-01-02 08:49:04,26.98
303,300271,2017-01-02 08:55:32,34.98
304,300273,2017-01-02 09:02:38,482.0
305,300281,2017-01-02 14:53:22,55.97
307,300290,2017-01-02 09:36:20,34.97
308,300304,2017-01-02 09:54:28,68.99
309,300306,2017-01-02 09:56:35,59.0
310,300309,2017-01-02 10:02:42,59.97
312,300311,2017-01-06 08:48:32,91.97
313,300314,2017-01-02 10:08:31,265.98
314,300315,2017-01-02 11:02:23,47.97
315,300317,2017-01-02 10:09:20,159.98
316,300319,2017-01-02 10:16:08,119.99
318,300323,2017-01-02 10:14:00,339.99
319,300325,2017-01-02 10:19:56,36.89
321,300327,2017-01-02 10:22:28,284.99
322,300329,2017-01-02 10:29:08,99.98
323,300331,2017-01-03 09:41:00,56.98
324,300333,2017-01-02 10:28:03,76.98
325,300336,2017-01-02 10:42:52,149.99
326,300339,2017-01-02 10:38:56,45.0
328,300346,2017-01-02 12:15:10,79.99
329,300347,2017-01-02 10:43:47,99.99
330,300354,2017-01-02 12:21:05,26.98
331,300362,2017-01-02 11:24:49,149.99
332,300364,2017-01-02 10:58:20,49.99
334,300368,2017-01-02 11:23:41,41.96
335,300369,2017-01-02 11:03:42,170.99
336,300371,2017-01-02 11:06:29,129.99
338,300379,2017-01-02 11:10:17,59.9
339,300380,2017-01-02 11:07:26,199.99
340,300385,2017-01-02 11:22:13,114.98
341,300387,2017-01-02 11:26:05,429.0
342,300389,2017-01-02 11:36:53,84.99
343,300390,2017-01-02 11:18:30,72.99
344,300391,2017-01-02 12:45:36,287.98
345,300392,2017-01-02 11:17:02,24.34
346,300399,2017-01-02 11:30:44,101.99
347,300400,2017-01-02 11:28:32,149.99
348,300403,2017-01-02 11:27:44,19.99
349,300406,2017-01-02 11:30:12,397.99
350,300411,2017-01-02 11:47:44,94.99
351,300412,2017-01-02 11:46:02,69.99
352,300413,2017-01-02 11:32:27,49.99
353,300414,2017-01-02 11:35:01,46.99
354,300418,2017-01-02 11:36:21,101.55
355,300419,2017-01-02 11:53:35,1584.99
356,300421,2017-01-02 13:10:04,187.98
358,300430,2017-01-02 11:50:59,68.99
359,300434,2017-01-02 11:49:14,105.99
360,300435,2017-01-02 12:25:46,283.99
361,300436,2017-01-02 14:23:53,49.99
362,300439,2017-01-02 20:36:49,73.97
363,300443,2017-01-02 14:51:23,234.97
364,300444,2017-01-02 11:54:34,59.98
365,300446,2017-01-02 12:27:22,45.88
366,300452,2017-01-02 12:12:23,169.99
367,300455,2017-01-02 13:17:49,523.97
368,300456,2017-01-02 17:39:54,49.99
369,300462,2017-01-02 12:10:46,51.98
372,300466,2017-01-02 12:15:47,59.99
373,300467,2017-01-02 12:15:35,81.98
374,300468,2017-01-02 12:19:51,89.99
375,300469,2017-01-02 12:14:15,59.0
376,300471,2017-01-02 12:23:22,54.99
378,300475,2017-01-02 12:16:20,1049.65
379,300476,2017-01-02 12:33:03,84.99
380,300482,2017-01-02 12:25:30,359.94
381,300485,2017-01-02 12:27:55,49.99
382,300495,2017-01-02 13:02:55,300.94
384,300498,2017-01-02 12:45:20,79.0
386,300512,2017-01-02 13:01:12,25.89
387,300513,2017-01-02 13:11:32,46.78
389,300525,2017-01-02 13:09:21,903.99
390,300527,2017-01-02 13:20:23,84.99
391,300528,2017-01-02 13:17:09,14.98
392,300530,2017-01-02 13:23:50,36.99
393,300531,2017-01-02 13:16:13,188.99
394,300532,2017-01-02 13:26:24,75.98
395,300533,2017-01-02 13:39:07,54.99
397,300540,2017-01-02 13:33:56,49.99
398,300541,2017-01-02 13:39:29,385.88
399,300544,2017-01-02 13:28:56,54.99
400,300546,2017-01-02 13:36:03,62.99
401,300547,2017-01-02 13:32:14,59.9
402,300551,2017-01-02 13:37:16,54.99
403,300553,2017-01-02 13:49:10,55.99
404,300554,2017-01-02 13:43:39,78.99
406,300565,2017-01-02 14:02:43,118.99
407,300566,2017-01-09 00:19:35,24.98
409,300582,2018-01-31 17:29:38,135.94
410,300585,2017-01-02 14:41:01,4038.99
411,300586,2017-01-02 16:03:00,89.99
413,300604,2017-01-02 14:44:14,119.99
414,300610,2017-01-02 19:32:28,42.98
415,300613,2017-01-02 14:53:15,44.99
417,300616,2017-01-02 14:58:53,124.99
419,300627,2017-01-02 15:12:22,225.99
420,300637,2017-01-02 15:26:07,54.99
421,300639,2017-01-02 15:30:26,30.98
422,300646,2017-01-02 18:42:53,182.97
423,300650,2017-01-02 15:41:52,49.99
424,300655,2017-01-02 17:48:37,99.99
425,300656,2017-01-02 16:24:47,285.98
426,300657,2017-01-02 15:57:12,1259.99
427,300660,2017-01-02 15:48:02,199.0
428,300663,2017-01-02 15:59:50,35.98
429,300665,2017-01-02 16:00:16,741.44
430,300671,2017-01-03 12:21:18,220.98
431,300674,2017-01-02 16:20:10,279.0
432,300675,2017-01-02 16:36:33,174.99
433,300678,2017-01-02 16:51:20,41.98
436,300692,2017-01-02 16:18:08,28.98
437,300693,2017-01-02 16:21:40,59.99
438,300699,2017-01-02 16:44:17,47.98
439,300701,2017-01-02 16:28:00,109.99
440,300704,2017-01-02 16:34:03,512.99
441,300705,2017-01-02 16:36:36,36.98
442,300711,2017-01-02 20:49:29,335.98
443,300713,2017-01-02 17:00:20,54.99
444,300716,2017-01-02 16:43:14,2237.99
445,300718,2017-01-02 16:47:32,24.98
446,300720,2017-01-02 17:07:48,53.98
447,300725,2017-01-07 12:07:23,84.99
449,300728,2017-01-02 19:14:48,94.59
450,300731,2017-01-02 17:00:46,172.0
451,300733,2017-01-02 17:10:28,59.99
453,300737,2017-01-02 17:23:52,664.98
454,300738,2017-01-02 17:10:39,49.99
455,300739,2017-01-02 17:06:53,139.99
456,300744,2017-01-02 17:12:43,45.99
457,300746,2017-01-02 17:20:17,144.99
458,300757,2017-01-02 17:44:13,124.98
459,300760,2017-01-02 17:21:49,73.97
460,300761,2017-01-02 17:31:52,89.0
461,300764,2017-01-02 17:31:04,25.98
462,300773,2017-01-02 17:40:22,54.99
463,300775,2017-01-02 17:37:51,62.99
465,300779,2017-01-02 17:46:31,118.99
466,300786,2017-01-02 17:51:13,44.99
467,300789,2017-01-02 18:00:02,149.99
470,300793,2017-01-02 18:18:28,156.27
471,300796,2017-01-02 18:02:00,284.99
472,300798,2017-01-02 19:12:38,1351.99
473,300800,2017-01-02 18:03:41,119.99
474,300806,2017-01-02 18:21:34,139.99
475,300808,2017-01-02 19:25:35,64.99
476,300809,2017-01-02 18:24:24,154.99
477,300812,2017-01-02 19:06:48,26.98
478,300814,2017-01-02 18:35:39,62.99
479,300819,2017-01-02 18:26:33,59.97
480,300826,2017-01-02 18:54:32,49.97
481,300830,2017-01-02 19:47:57,149.99
482,300831,2017-01-02 18:35:46,175.98
483,300834,2017-01-02 18:42:26,79.99
484,300835,2017-02-07 18:54:27,479.99
485,300839,2017-01-02 18:52:39,103.99
486,300846,2017-01-02 19:19:16,170.98
487,300848,2017-01-02 18:51:54,114.0
488,300851,2017-01-02 18:57:49,31.98
489,300854,2017-01-03 17:23:35,36.89
490,300860,2017-01-02 19:00:13,77.98
491,300861,2017-01-02 19:00:19,49.99
492,300862,2017-01-02 18:59:17,132.99
493,300867,2017-01-02 19:06:50,44.98
494,300872,2017-01-02 19:25:37,129.99
495,300873,2017-01-02 19:28:27,34.98
496,300875,2017-01-02 19:10:04,69.0
497,300876,2017-01-02 19:22:45,301.97
498,300877,2017-01-02 19:11:42,94.99
499,300880,2017-01-03 01:17:18,79.98
501,300882,2017-01-02 19:35:38,729.99
502,300883,2017-01-02 19:23:18,159.99
503,300889,2017-01-02 19:28:46,69.0
504,300896,2017-01-02 19:32:04,59.98
505,300898,2017-01-02 19:32:38,59.9
506,300903,2017-01-02 19:38:11,169.99
507,300904,2017-01-02 19:39:02,101.99
508,300905,2017-01-02 19:40:31,36.98
509,300906,2017-01-02 20:22:21,30.96
510,300916,2017-01-02 19:46:12,64.99
511,300918,2017-01-02 19:54:38,149.99
513,300924,2017-01-02 19:59:46,59.99
514,300929,2017-01-03 15:11:29,69.0
515,300930,2017-01-02 20:07:04,56.99
516,300933,2017-01-02 20:11:08,89.99
517,300938,2017-01-02 20:09:37,112.99
519,300945,2017-01-02 20:26:40,47.99
520,300947,2017-01-02 20:23:48,99.99
521,300948,2017-01-02 20:31:33,94.99
522,300949,2017-01-02 20:24:40,99.99
523,300950,2017-01-08 15:04:07,777.99
524,300954,2017-01-02 20:45:47,351.99
527,300966,2017-01-02 20:41:10,109.99
528,300971,2017-01-02 20:54:25,69.0
529,300977,2017-01-02 20:54:09,23.98
530,300979,2017-01-02 22:51:17,81.98
531,300980,2017-01-02 20:55:40,199.99
533,300986,2017-01-02 21:00:13,169.99
534,300989,2017-01-02 20:59:10,169.98
535,300998,2017-01-03 16:24:51,36.98
536,300999,2017-01-02 21:46:23,36.98
537,301012,2017-01-02 21:29:50,112.99
538,301013,2017-01-02 21:25:04,118.99
539,301015,2017-01-02 21:27:01,149.99
542,301058,2017-01-02 22:05:39,72.99
543,301059,2017-01-02 22:38:07,125.98
545,301069,2017-01-02 22:11:15,129.99
546,301074,2017-01-02 22:22:35,106.0
547,301075,2017-01-02 22:33:18,36.98
548,301079,2017-01-02 22:37:58,92.98
549,301080,2017-01-02 22:24:51,102.98
550,301085,2017-01-02 22:27:04,44.99
551,301091,2017-01-02 22:35:53,10.99
552,301092,2017-01-02 22:41:45,43.98
553,301094,2017-01-02 22:40:02,84.99
554,301095,2017-01-02 22:46:39,94.99
555,301097,2017-01-02 22:54:58,516.99
558,301103,2017-01-02 22:51:04,69.0
559,301105,2017-01-02 22:51:41,188.99
560,301106,2017-01-02 23:10:03,74.98
561,301108,2017-01-02 23:22:45,499.0
562,301111,2017-01-02 22:59:52,84.99
563,301112,2017-01-02 22:57:03,22.98
564,301118,2017-01-02 23:19:47,94.99
565,301121,2017-01-02 23:26:35,24.98
566,301129,2017-01-02 23:25:27,328.99
568,301145,2017-01-02 23:33:15,23.98
569,301148,2017-01-02 23:33:11,79.99
570,301152,2017-01-02 23:57:07,199.99
572,301158,2017-01-02 23:54:00,332.99
574,301166,2017-01-02 23:47:18,94.99
575,301169,2017-01-02 23:50:44,79.99
576,301173,2017-01-03 05:12:38,58.99
578,301179,2017-01-03 00:06:01,26.98
579,301181,2017-01-03 00:17:54,64.99
580,301184,2017-01-03 00:03:11,81.98
581,301193,2017-01-03 00:08:32,23.51
582,301196,2017-01-07 22:13:29,46.99
583,301198,2017-01-07 10:55:03,385.97
584,301204,2017-01-03 00:29:00,1029.99
585,301207,2017-01-03 00:22:35,36.98
586,301208,2017-01-03 13:43:06,49.99
587,301209,2017-01-03 00:29:44,69.0
588,301211,2017-01-03 00:24:15,1569.0
589,301214,2017-01-03 00:37:19,144.99
590,301223,2017-01-03 00:40:21,188.99
591,301226,2017-01-03 00:40:31,64.99
592,301227,2017-01-05 10:22:23,61.44
593,301230,2017-01-03 14:54:24,46.98
595,301234,2017-01-03 10:22:35,544.98
596,301236,2017-01-03 00:52:41,47.99
597,301239,2017-01-03 00:56:12,21.98
598,301243,2017-01-03 09:45:03,47.98
599,301244,2017-01-03 01:14:49,46.98
600,301247,2017-01-03 13:35:57,62.98
601,301252,2017-01-03 01:37:07,43.98
602,301253,2017-01-03 01:48:33,35.98
603,301256,2017-01-03 13:59:51,64.99
604,301261,2017-01-03 02:15:57,41.98
605,301270,2017-01-03 02:53:25,159.99
606,301276,2017-01-03 05:37:18,174.97
607,301277,2017-01-03 05:58:15,19.98
608,301280,2017-01-03 06:39:26,66.99
609,301292,2017-01-03 08:15:55,149.99
610,301297,2017-01-03 16:11:46,339.99
611,301300,2017-01-03 10:44:50,316.98
612,301306,2017-01-03 23:22:54,49.99
613,301307,2017-01-03 08:56:49,11.98
614,301308,2017-01-03 08:58:47,113.32
615,301309,2017-01-03 09:26:42,44.99
617,301318,2017-01-03 09:37:35,159.99
618,301320,2017-01-03 09:33:30,148.99
619,301321,2017-01-03 17:16:45,44.97
620,301322,2017-01-03 09:37:34,58.99
621,301325,2017-01-03 09:48:24,148.89
622,301327,2017-01-03 10:00:40,18.98
623,301331,2017-01-03 09:58:58,2845.99
624,301334,2017-01-03 09:57:48,36.98
625,301335,2017-01-03 10:12:31,49.99
626,301339,2017-01-03 10:03:13,119.99
627,301344,2017-01-03 10:16:25,237.97
628,301345,2017-01-03 10:03:24,45.99
629,301352,2017-01-03 10:13:25,112.99
630,301359,2017-01-03 10:18:20,729.99
631,301360,2017-01-03 10:17:48,117.99
632,301362,2017-01-03 11:59:34,2474.99
633,301365,2017-01-03 10:22:57,203.99
634,301367,2017-01-03 11:14:27,46.98
635,301370,2017-01-03 10:34:22,2258.99
636,301371,2017-01-03 10:32:24,44.99
637,301374,2017-01-03 10:43:42,59.99
638,301375,2017-01-03 10:34:25,123.99
639,301376,2017-01-03 10:35:57,94.99
640,301379,2017-01-03 14:04:19,53.99
641,301380,2017-01-03 10:41:13,132.99
644,301387,2017-01-03 11:00:27,154.98
645,301390,2017-01-03 10:55:52,292.77
646,301393,2017-01-03 10:54:12,94.99
648,301396,2017-01-03 11:11:14,482.0
649,301398,2017-01-03 10:56:44,3984.99
650,301403,2017-01-03 10:55:18,152.89
651,301404,2017-01-03 11:08:47,79.99
652,301405,2017-05-24 11:08:25,55.99
653,301406,2017-01-03 11:16:19,1569.0
654,301408,2017-01-03 11:07:04,64.99
655,301409,2017-01-03 11:06:08,49.99
656,301412,2017-01-03 11:13:41,482.0
657,301414,2017-01-03 11:08:02,494.99
658,301416,2017-01-03 11:12:32,138.39
660,301420,2017-01-03 11:15:04,55.99
661,301422,2017-01-03 11:18:32,70.99
662,301430,2017-01-03 12:01:27,89.98
663,301433,2017-01-03 11:23:42,204.99
664,301434,2017-01-03 11:27:02,279.0
665,301440,2017-01-03 11:42:16,339.99
666,301442,2017-01-03 13:28:51,119.99
667,301451,2017-01-03 11:40:24,114.98
668,301452,2017-01-03 11:43:02,59.99
669,301456,2017-01-03 11:48:22,44.99
670,301457,2017-01-03 11:44:28,94.99
672,301463,2017-01-03 11:50:30,31.98
673,301467,2017-01-03 12:01:14,43.98
674,301469,2017-01-03 11:58:45,49.99
675,301478,2017-01-03 12:05:40,29.98
677,301490,2017-01-03 12:16:49,26.98
678,301491,2017-01-03 12:05:30,128.99
680,301496,2017-01-03 12:16:45,36.98
681,301498,2017-01-03 12:20:45,212.99
682,301499,2017-01-03 12:42:50,99.99
683,301500,2017-01-03 12:19:43,1949.99
684,301501,2017-01-03 12:23:50,278.99
685,301504,2017-01-03 12:17:45,58.99
686,301508,2017-01-03 15:15:45,24.98
687,301509,2017-01-03 12:43:16,46.04
688,301512,2017-01-03 12:48:16,36.97
689,301513,2017-01-03 12:34:42,44.98
690,301517,2017-01-03 16:15:00,65.98
691,301521,2017-01-03 12:41:46,989.0
692,301522,2017-01-03 12:37:45,99.98
695,301531,2017-01-05 11:14:44,117.98
696,301533,2017-01-03 12:47:43,164.97
697,301537,2017-01-03 12:54:16,44.99
698,301543,2017-01-03 13:17:35,1569.0
700,301547,2017-01-03 13:01:25,159.0
701,301548,2017-01-03 13:12:02,903.99
702,301550,2017-01-03 13:16:19,729.99
703,301557,2017-01-03 13:18:18,101.99
705,301560,2017-01-03 13:18:31,26.98
706,301562,2017-01-03 13:25:44,49.99
707,301563,2017-01-03 13:17:04,62.99
708,301566,2017-01-03 13:12:29,49.99
709,301571,2017-01-03 13:19:26,112.99
710,301575,2017-01-03 13:23:24,99.99
711,301576,2017-01-03 13:31:29,31.98
712,301584,2017-01-09 11:33:19,65.97
714,301589,2017-01-03 13:32:15,79.99
715,301595,2017-01-03 15:09:58,169.99
716,301597,2017-01-03 13:46:32,36.98
717,301601,2017-01-03 13:42:54,55.99
719,301609,2017-01-03 13:46:58,279.0
721,301619,2017-01-03 16:19:55,23.98
722,301622,2017-01-03 13:55:55,14.98
723,301628,2017-01-03 13:56:49,185.97
724,301634,2017-01-03 14:04:31,44.99
725,301635,2017-01-03 14:06:09,11.98
726,301636,2017-01-03 14:05:55,110.98
727,301646,2017-01-03 14:18:56,119.98
728,301649,2017-01-03 14:15:20,45.98
729,301650,2017-01-03 14:21:41,29.98
730,301651,2017-01-03 14:40:23,99.99
731,301652,2017-01-03 14:16:44,79.99
732,301654,2017-01-03 16:23:58,49.99
733,301655,2017-01-03 16:29:11,302.99
734,301662,2017-01-03 14:28:26,20.98
736,301675,2017-01-03 14:36:12,24.98
737,301677,2017-01-03 14:44:24,74.21
738,301678,2017-01-04 20:54:25,173.98
739,301681,2017-01-03 15:00:52,148.99
740,301685,2017-01-03 14:53:20,79.98
741,301686,2017-01-03 15:04:42,149.99
742,301689,2017-01-03 15:01:13,79.99
743,301690,2017-01-03 14:59:31,118.99
744,301695,2017-01-03 15:00:55,58.99
745,301697,2017-01-03 15:16:20,69.0
746,301707,2017-01-03 15:10:50,53.99
749,301712,2017-01-03 15:22:20,104.99
750,301717,2017-01-03 15:27:25,79.99
751,301719,2017-01-03 15:22:49,103.99
752,301725,2017-01-03 15:34:27,36.98
754,301728,2017-01-03 15:49:52,26.98
757,301736,2017-01-03 15:50:52,62.99
758,301737,2017-01-03 15:54:25,99.99
759,301738,2017-01-03 15:56:48,64.99
761,301749,2017-01-09 12:05:16,5.99
764,301753,2017-01-03 16:11:58,46.98
766,301760,2017-01-04 11:16:41,1351.99
767,301762,2017-01-10 01:48:32,48.98
769,301767,2017-01-03 16:25:52,132.99
770,301775,2017-01-03 16:44:53,199.99
772,301787,2017-01-03 17:06:46,33.98
774,301789,2017-01-03 16:48:28,133.98
775,301792,2017-01-03 16:51:34,52.96
776,301796,2017-01-03 17:02:51,52.99
777,301799,2017-01-03 17:05:54,79.99
778,301806,2017-01-03 17:02:55,59.99
779,301812,2017-01-03 17:18:08,112.99
780,301813,2017-07-14 12:39:47,146.98
782,301816,2017-01-03 17:22:00,139.99
783,301822,2017-01-03 17:22:06,989.0
784,301823,2017-01-03 17:27:52,279.0
785,301824,2017-01-03 17:26:16,27.64
